id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Wed 3/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,15.4,31.32,87,6,NE,0,0,1014,66,1646258400,-32400
2,Alaska,Anchorage,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,18.91,32.27,84,7,N,0,0,1016,100,1646344800,-32400
3,Alaska,Anchorage,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,21.65,32.7,87,5,NE,0,0,1016,100,1646431200,-32400
4,Alaska,Anchorage,4,Sat 3/5,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,26.76,31.89,96,10,N,0,11.2,1012,100,1646517600,-32400
5,Alaska,Anchorage,5,Sun 3/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,12.78,30.31,85,6,NW,0,0.77,1031,6,1646604000,-32400
6,Alaska,Fairbanks,1,Wed 3/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,3.65,23.95,92,4,N,0,0,1015,94,1646258400,-32400
7,Alaska,Fairbanks,2,Thu 3/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,1.44,25.18,84,4,N,0,0,1017,66,1646344800,-32400
8,Alaska,Fairbanks,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,3.7,30.85,81,5,N,0,0,1013,94,1646431200,-32400
9,Alaska,Fairbanks,4,Sat 3/5,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,10.54,24.58,88,4,N,0,1.18,1015,99,1646517600,-32400
10,Alaska,Fairbanks,5,Sun 3/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,8.2,25.52,89,7,SW,0,0.64,1032,100,1646604000,-32400
11,Alaska,Juneau,1,Wed 3/2,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,27.41,37.76,98,4,S,0.38,3.2,1018,100,1646254800,-32400
12,Alaska,Juneau,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.9,34.88,76,5,NE,0,0,1021,100,1646341200,-32400
13,Alaska,Juneau,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.37,37.44,87,4,NE,0,0,1026,92,1646427600,-32400
14,Alaska,Juneau,4,Sat 3/5,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,30.81,36.52,95,6,E,0,5.55,1028,100,1646514000,-32400
15,Alaska,Juneau,5,Sun 3/6,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,36.84,40.08,99,9,SE,8.69,3.76,1025,100,1646600400,-32400
16,Colorado,Denver/Boulder,1,Wed 3/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,40.62,63.68,30,11,SW,0,0,1016,98,1646247600,-25200
17,Colorado,Denver/Boulder,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,43.3,60.21,30,10,SW,0,0,1013,100,1646334000,-25200
18,Colorado,Denver/Boulder,3,Fri 3/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.55,58.28,34,10,SW,1.66,0,1003,100,1646420400,-25200
19,Colorado,Denver/Boulder,4,Sat 3/5,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,25.81,41.54,68,10,NE,1.18,7.02,1004,100,1646506800,-25200
20,Colorado,Denver/Boulder,5,Sun 3/6,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,20.52,26.67,92,7,NE,0,10.79,1022,100,1646593200,-25200
21,Colorado,Grand Junction,1,Wed 3/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,35.78,54.32,51,4,E,0,0,1024,36,1646247600,-25200
22,Colorado,Grand Junction,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,40.86,59.04,35,5,E,0,0,1017,100,1646334000,-25200
23,Colorado,Grand Junction,3,Fri 3/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.41,58.08,57,13,SE,2.09,0,1009,100,1646420400,-25200
24,Colorado,Grand Junction,4,Sat 3/5,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,36.32,47.46,69,9,S,1.68,1.23,1009,98,1646506800,-25200
25,Colorado,Grand Junction,5,Sun 3/6,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,33.69,43.72,57,11,W,0.24,0.93,1008,86,1646593200,-25200
26,Colorado,Pueblo,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.75,70.02,20,7,W,0,0,1017,4,1646247600,-25200
27,Colorado,Pueblo,2,Thu 3/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,45.18,71.69,16,11,SW,0,0,1013,60,1646334000,-25200
28,Colorado,Pueblo,3,Fri 3/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,47.8,63.97,25,10,SW,0.12,0,1005,100,1646420400,-25200
29,Colorado,Pueblo,4,Sat 3/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,35.74,58.93,22,21,W,0,0,1001,79,1646506800,-25200
30,Colorado,Pueblo,5,Sun 3/6,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,27.48,32.49,85,11,E,0,7.68,1019,100,1646593200,-25200
31,Illinois,Chicago,1,Wed 3/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.18,51.06,56,12,N,0.18,0,1017,59,1646244000,-21600
32,Illinois,Chicago,2,Thu 3/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.48,35.51,40,10,N,0,0,1030,78,1646330400,-21600
33,Illinois,Chicago,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.32,44.15,35,9,SE,0,0,1028,100,1646416800,-21600
34,Illinois,Chicago,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.05,66.42,67,22,S,0.47,0,1011,68,1646503200,-21600
35,Illinois,Chicago,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,42.98,61.68,53,26,S,0.89,0,1014,16,1646589600,-21600
36,Illinois,Lincoln,1,Wed 3/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,35.19,66.4,46,14,N,0,0,1016,60,1646244000,-21600
37,Illinois,Lincoln,2,Thu 3/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,33.62,43.38,54,12,N,0,0,1029,83,1646330400,-21600
38,Illinois,Lincoln,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.35,50.88,56,13,SE,0,0,1025,97,1646416800,-21600
39,Illinois,Lincoln,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,48.02,68.36,62,24,S,0.68,0,1011,100,1646503200,-21600
40,Illinois,Lincoln,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,46.53,63.84,51,25,SW,0.98,0,1017,20,1646589600,-21600
41,Indiana,Indianapolis,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.39,62.08,45,11,SW,0,0,1019,10,1646240400,-18000
42,Indiana,Indianapolis,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.08,45.46,48,11,N,0,0,1028,90,1646326800,-18000
43,Indiana,Indianapolis,3,Fri 3/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,31.96,48.9,38,8,E,0,0,1028,82,1646413200,-18000
44,Indiana,Indianapolis,4,Sat 3/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,44.24,66.96,52,19,S,0,0,1016,51,1646499600,-18000
45,Indiana,Indianapolis,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,55.58,65.82,57,18,S,2.99,0,1015,84,1646586000,-18000
46,Indiana,Northern Indiana,1,Wed 3/2,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,26.46,47.8,58,14,NW,0.73,0,1018,47,1646240400,-18000
47,Indiana,Northern Indiana,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,24.64,34.9,41,13,N,0,0,1030,100,1646326800,-18000
